Record_ID,Country,ISO_Code,Join_Year,Years_In_NATO,Founding_Member,Nuclear_Sharing,Region,Capital,Area_km2,Government_Type,Alliance_Role,Year,Population_M,GDP_Billion_USD,GDP_Per_Capita_USD,Inflation_Rate_Pct,Unemployment_Rate_Pct,Defense_Budget_Billion_USD,Defense_GDP_Percent,Meets_2_Percent_Target,Active_Military_Personnel,Reserve_Personnel,Total_Military_Personnel,NATO_Contribution_Rank,Interoperability_Score,Training_Exercises_Per_Year
11,Albania,ALB,2009,10,No,No,Southern Europe,Tirana,28748,Federal Republic,Host Nation,2019,2.96,23.45,7922.3,7.87,4.23,0.3,1.28,No,561072,403467,964539,30,60.1,18
12,Albania,ALB,2009,11,No,No,Southern Europe,Tirana,28748,Parliamentary Monarchy,Contributing Nation,2020,2.95,24.87,8430.51,7.69,18.83,0.85,3.41,Yes,224659,456902,681561,13,66.0,12
13,Albania,ALB,2009,12,No,No,Southern Europe,Tirana,28748,Constitutional Monarchy,Framework Nation,2021,2.97,23.92,8053.87,4.23,2.39,0.83,3.47,Yes,2699,314519,317218,16,62.3,38
14,Albania,ALB,2009,13,No,No,Southern Europe,Tirana,28748,Federal Republic,Contributing Nation,2022,2.98,25.76,8644.3,6.63,4.52,0.3,1.18,No,146649,399274,545923,11,70.3,40
15,Albania,ALB,2009,14,No,No,Southern Europe,Tirana,28748,Constitutional Monarchy,Lead Nation,2023,3.0,24.44,8146.67,4.08,21.9,0.39,1.6,No,423344,374290,797634,29,64.7,16
16,Albania,ALB,2009,15,No,No,Southern Europe,Tirana,28748,Parliamentary Republic,Host Nation,2024,3.01,23.63,7850.5,0.58,16.16,0.23,0.97,No,1235548,115957,1351505,5,95.3,23
17,Belgium,BEL,1949,0,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Contributing Nation,1949,11.64,558.41,47973.37,2.02,20.71,9.44,1.69,No,450787,283213,734000,31,69.5,32
18,Belgium,BEL,1949,1,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Full Member,1950,11.56,635.17,54945.5,5.37,11.34,9.72,1.53,No,905479,186253,1091732,4,75.7,23
19,Belgium,BEL,1949,2,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Host Nation,1951,11.64,650.06,55847.08,2.11,5.67,8.19,1.26,No,1126172,235702,1361874,5,77.3,37
20,Belgium,BEL,1949,3,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Lead Nation,1952,11.78,602.71,51163.84,11.15,18.97,18.38,3.05,Yes,32449,49396,81845,32,78.8,27
21,Belgium,BEL,1949,4,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,1953,11.71,690.33,58952.18,11.15,17.7,9.94,1.44,No,820273,139542,959815,32,66.0,20
22,Belgium,BEL,1949,5,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Contributing Nation,1954,11.95,641.95,53719.67,4.11,3.0,7.0,1.09,No,129337,392654,521991,11,62.2,34
23,Belgium,BEL,1949,6,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Contributing Nation,1955,11.97,643.05,53721.8,1.88,19.81,9.71,1.51,No,494758,212194,706952,3,84.2,28
24,Belgium,BEL,1949,7,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,1956,11.96,713.45,59653.01,8.2,8.28,19.76,2.77,Yes,548365,107590,655955,9,86.2,21
25,Belgium,BEL,1949,8,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Full Member,1957,12.17,708.65,58229.25,7.64,13.26,28.13,3.97,Yes,21035,240773,261808,14,79.7,10
26,Belgium,BEL,1949,9,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Contributing Nation,1958,12.21,771.92,63220.31,2.31,18.67,29.41,3.81,Yes,776454,149915,926369,1,86.0,37
27,Belgium,BEL,1949,10,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Host Nation,1959,12.29,721.77,58728.23,1.83,4.14,22.3,3.09,Yes,283128,139156,422284,18,71.0,15
28,Belgium,BEL,1949,11,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Full Member,1960,12.27,780.55,63614.51,6.12,20.11,12.25,1.57,No,555114,265479,820593,28,92.3,4
29,Belgium,BEL,1949,12,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Contributing Nation,1961,12.33,718.65,58284.67,9.02,13.03,24.72,3.44,Yes,550860,85215,636075,1,64.4,11
30,Belgium,BEL,1949,13,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Framework Nation,1962,12.37,792.21,64042.85,1.97,8.17,28.92,3.65,Yes,312075,225832,537907,14,86.6,44
31,Belgium,BEL,1949,14,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Host Nation,1963,12.51,757.43,60545.96,9.12,20.52,26.28,3.47,Yes,853735,325905,1179640,12,94.4,3
32,Belgium,BEL,1949,15,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Framework Nation,1964,12.54,780.22,62218.5,8.2,16.7,30.82,3.95,Yes,864925,421102,1286027,11,90.7,8
33,Belgium,BEL,1949,16,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Host Nation,1965,12.52,818.06,65340.26,11.06,8.99,8.43,1.03,No,420034,428626,848660,2,85.7,27
34,Belgium,BEL,1949,17,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Framework Nation,1966,12.7,826.24,65058.27,7.88,9.99,30.98,3.75,Yes,586867,184601,771468,2,64.5,18
35,Belgium,BEL,1949,18,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,1967,12.58,822.68,65395.87,5.5,16.57,33.57,4.08,Yes,228836,313275,542111,8,75.0,38
36,Belgium,BEL,1949,19,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Framework Nation,1968,12.69,838.28,66058.31,9.77,15.74,8.8,1.05,No,1091851,485767,1577618,28,62.7,44
37,Belgium,BEL,1949,20,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Framework Nation,1969,12.8,943.65,73722.66,10.85,12.14,27.93,2.96,Yes,262858,377858,640716,26,87.2,37
38,Belgium,BEL,1949,21,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Framework Nation,1970,12.93,858.73,66413.77,7.04,10.12,19.66,2.29,Yes,366461,323207,689668,19,68.2,39
39,Belgium,BEL,1949,22,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Full Member,1971,12.86,934.61,72675.74,5.94,20.02,18.32,1.96,No,449664,268502,718166,19,80.1,42
40,Belgium,BEL,1949,23,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Full Member,1972,13.05,951.33,72898.85,4.07,18.13,11.51,1.21,No,494055,353238,847293,3,69.5,32
41,Belgium,BEL,1949,24,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Lead Nation,1973,12.98,965.37,74373.65,2.74,15.93,33.21,3.44,Yes,1322213,302317,1624530,16,65.8,2
42,Belgium,BEL,1949,25,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Lead Nation,1974,13.15,1018.48,77450.95,2.52,21.16,38.09,3.74,Yes,893096,115235,1008331,4,81.7,9
43,Belgium,BEL,1949,26,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Contributing Nation,1975,13.15,974.29,74090.49,4.15,17.11,34.49,3.54,Yes,1173651,312688,1486339,28,92.4,37
44,Belgium,BEL,1949,27,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Contributing Nation,1976,13.26,987.58,74478.13,9.15,18.8,14.12,1.43,No,945364,136391,1081755,32,84.4,19
45,Belgium,BEL,1949,28,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Host Nation,1977,13.15,1001.47,76157.41,10.77,3.61,32.55,3.25,Yes,705823,168119,873942,25,87.1,15
46,Belgium,BEL,1949,29,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Full Member,1978,13.29,962.3,72407.83,2.88,10.4,21.65,2.25,Yes,873441,33145,906586,25,78.6,24
47,Belgium,BEL,1949,30,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Host Nation,1979,13.44,1010.36,75175.6,9.1,12.92,22.13,2.19,Yes,880251,282682,1162933,32,68.6,29
48,Belgium,BEL,1949,31,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Contributing Nation,1980,13.44,1052.41,78304.32,2.4,11.35,22.94,2.18,Yes,849413,380179,1229592,2,95.4,39
49,Belgium,BEL,1949,32,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Framework Nation,1981,13.49,1079.02,79986.66,5.81,3.01,10.68,0.99,No,286082,454979,741061,14,77.7,23
50,Belgium,BEL,1949,33,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Full Member,1982,13.58,1123.89,82760.68,10.1,11.41,24.16,2.15,Yes,885585,132762,1018347,23,68.7,6
51,Belgium,BEL,1949,34,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Host Nation,1983,13.64,1142.36,83750.73,10.15,14.43,34.84,3.05,Yes,520090,105022,625112,31,86.1,38
52,Belgium,BEL,1949,35,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Host Nation,1984,13.56,1183.77,87298.67,7.47,21.27,28.77,2.43,Yes,775129,88469,863598,20,64.2,3
53,Belgium,BEL,1949,36,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Host Nation,1985,13.8,1196.57,86707.97,11.33,5.97,33.5,2.8,Yes,788575,208461,997036,7,87.2,21
54,Belgium,BEL,1949,37,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Full Member,1986,13.64,1199.73,87956.74,0.97,12.65,34.55,2.88,Yes,1188346,410826,1599172,22,60.5,28
55,Belgium,BEL,1949,38,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Host Nation,1987,13.93,1210.77,86918.16,10.03,16.15,15.13,1.25,No,1334418,467942,1802360,18,84.0,36
56,Belgium,BEL,1949,39,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Framework Nation,1988,13.95,1218.46,87344.8,4.21,6.91,29.61,2.43,Yes,1244009,141216,1385225,29,69.5,31
57,Belgium,BEL,1949,40,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Framework Nation,1989,13.87,1199.82,86504.69,4.24,11.75,37.31,3.11,Yes,1038135,446644,1484779,22,70.9,40
58,Belgium,BEL,1949,41,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Host Nation,1990,13.84,1236.94,89374.28,3.28,10.13,22.39,1.81,No,402174,45385,447559,31,85.2,33
59,Belgium,BEL,1949,42,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,1991,13.98,1209.07,86485.69,3.3,15.28,11.61,0.96,No,849590,363195,1212785,23,76.6,37
60,Belgium,BEL,1949,43,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Contributing Nation,1992,14.03,1203.55,85784.03,1.89,5.85,38.75,3.22,Yes,528731,121368,650099,12,67.5,32
61,Belgium,BEL,1949,44,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Host Nation,1993,14.23,1208.57,84931.13,11.78,18.65,34.44,2.85,Yes,1253060,148872,1401932,24,67.0,2
62,Belgium,BEL,1949,45,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Full Member,1994,14.08,1299.23,92274.86,3.86,20.88,17.15,1.32,No,115849,290619,406468,1,82.4,32
63,Belgium,BEL,1949,46,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Lead Nation,1995,14.4,1273.51,88438.19,10.41,4.28,25.72,2.02,Yes,530985,493888,1024873,32,62.9,42
64,Belgium,BEL,1949,47,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Contributing Nation,1996,14.42,1325.9,91948.68,11.93,4.37,18.56,1.4,No,638689,45159,683848,15,90.3,26
65,Belgium,BEL,1949,48,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Host Nation,1997,14.49,1297.96,89576.26,7.04,3.2,30.63,2.36,Yes,900821,160607,1061428,14,70.3,7
66,Belgium,BEL,1949,49,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Full Member,1998,14.32,1258.41,87877.79,5.68,13.88,18.5,1.47,No,7111,214680,221791,15,71.2,20
67,Belgium,BEL,1949,50,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Lead Nation,1999,14.55,1374.71,94481.79,9.6,13.8,32.99,2.4,Yes,556311,413548,969859,8,81.2,43
68,Belgium,BEL,1949,51,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Framework Nation,2000,14.45,1285.16,88938.41,9.62,13.9,22.88,1.78,No,126570,87491,214061,29,64.8,21
69,Belgium,BEL,1949,52,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Framework Nation,2001,14.62,1404.64,96076.61,1.43,2.8,56.33,4.01,Yes,1037063,230011,1267074,17,61.0,16
70,Belgium,BEL,1949,53,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Host Nation,2002,14.7,1470.61,100041.5,8.23,7.39,53.82,3.66,Yes,45006,401454,446460,31,80.2,30
71,Belgium,BEL,1949,54,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,2003,14.76,1477.46,100098.92,6.15,3.82,22.16,1.5,No,1332740,427398,1760138,22,72.5,8
72,Belgium,BEL,1949,55,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Full Member,2004,14.85,1481.65,99774.41,11.37,18.27,29.48,1.99,No,605936,347884,953820,30,63.4,18
73,Belgium,BEL,1949,56,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Lead Nation,2005,14.82,1390.56,93829.96,11.86,15.15,57.01,4.1,Yes,1080686,432999,1513685,27,62.1,35
74,Belgium,BEL,1949,57,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,2006,14.94,1412.81,94565.6,3.57,4.62,48.04,3.4,Yes,109737,107223,216960,32,64.7,42
75,Belgium,BEL,1949,58,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Lead Nation,2007,14.86,1477.73,99443.47,6.85,3.86,24.97,1.69,No,1156693,7669,1164362,8,85.3,11
76,Belgium,BEL,1949,59,Yes,Yes,Western Europe,Brussels,30528,Presidential Republic,Lead Nation,2008,15.02,1470.06,97873.5,10.1,21.6,47.92,3.26,Yes,574913,218336,793249,10,75.0,40
77,Belgium,BEL,1949,60,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Framework Nation,2009,15.19,1486.96,97890.72,9.59,10.3,56.5,3.8,Yes,580832,405604,986436,1,71.0,21
78,Belgium,BEL,1949,61,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Contributing Nation,2010,15.19,1570.98,103421.99,6.69,8.9,44.14,2.81,Yes,313127,234619,547746,25,77.8,22
79,Belgium,BEL,1949,62,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Lead Nation,2011,15.12,1593.35,105380.29,10.34,10.22,65.96,4.14,Yes,804648,122953,927601,25,75.1,44
80,Belgium,BEL,1949,63,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Lead Nation,2012,15.15,1592.43,105110.89,6.28,13.8,48.57,3.05,Yes,79135,66689,145824,7,80.5,31
81,Belgium,BEL,1949,64,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Contributing Nation,2013,15.43,1439.85,93314.97,5.9,21.38,19.87,1.38,No,325218,39731,364949,26,85.3,23
82,Belgium,BEL,1949,65,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Full Member,2014,15.33,1636.44,106747.55,8.77,17.19,61.2,3.74,Yes,665586,329123,994709,5,69.2,45
83,Belgium,BEL,1949,66,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Lead Nation,2015,15.5,1667.14,107557.42,9.24,16.08,69.85,4.19,Yes,911604,52112,963716,11,87.1,3
84,Belgium,BEL,1949,67,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Monarchy,Host Nation,2016,15.42,1488.2,96511.02,2.17,12.62,52.53,3.53,Yes,787598,226303,1013901,11,66.8,41
85,Belgium,BEL,1949,68,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Framework Nation,2017,15.46,1687.35,109142.95,3.17,14.76,49.78,2.95,Yes,1224469,75534,1300003,1,95.1,31
86,Belgium,BEL,1949,69,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Framework Nation,2018,15.5,1709.86,110313.55,4.47,13.75,53.69,3.14,Yes,927874,496075,1423949,30,93.0,14
87,Belgium,BEL,1949,70,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Full Member,2019,15.54,1748.0,112483.91,4.63,7.92,65.03,3.72,Yes,801278,300352,1101630,26,70.7,38
88,Belgium,BEL,1949,71,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Host Nation,2020,15.87,1732.89,109192.82,6.21,20.08,60.13,3.47,Yes,1273226,391184,1664410,23,68.5,14
89,Belgium,BEL,1949,72,Yes,Yes,Western Europe,Brussels,30528,Parliamentary Republic,Framework Nation,2021,15.85,1691.63,106727.44,10.14,14.56,53.12,3.14,Yes,1383903,357464,1741367,29,61.3,25
90,Belgium,BEL,1949,73,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Contributing Nation,2022,15.77,1732.93,109887.76,2.81,17.73,20.8,1.2,No,872873,92585,965458,18,92.4,18
91,Belgium,BEL,1949,74,Yes,Yes,Western Europe,Brussels,30528,Federal Republic,Full Member,2023,16.04,1791.33,111678.93,10.51,18.08,72.01,4.02,Yes,620456,391912,1012368,10,89.4,16
92,Belgium,BEL,1949,75,Yes,Yes,Western Europe,Brussels,30528,Constitutional Monarchy,Contributing Nation,2024,16.1,1794.16,111438.51,1.54,9.89,59.03,3.29,Yes,1170269,192271,1362540,8,77.7,45
93,Bulgaria,BGR,2004,0,No,No,Eastern Europe,Sofia,110879,Federal Republic,Full Member,2004,6.48,86.93,13415.12,4.77,15.5,1.54,1.77,No,1340634,493483,1834117,21,95.7,16
94,Bulgaria,BGR,2004,1,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Framework Nation,2005,6.53,87.88,13457.89,5.2,4.8,2.64,3.0,Yes,635238,340888,976126,32,64.5,17
95,Bulgaria,BGR,2004,2,No,No,Eastern Europe,Sofia,110879,Federal Republic,Full Member,2006,6.56,92.98,14173.78,7.25,16.53,1.26,1.35,No,1134365,220243,1354608,32,84.0,19
96,Bulgaria,BGR,2004,3,No,No,Eastern Europe,Sofia,110879,Constitutional Monarchy,Contributing Nation,2007,6.59,84.39,12805.77,4.67,21.62,1.79,2.12,Yes,496664,449002,945666,23,62.4,19
97,Bulgaria,BGR,2004,4,No,No,Eastern Europe,Sofia,110879,Parliamentary Monarchy,Full Member,2008,6.68,88.39,13232.04,8.12,14.83,1.15,1.3,No,955111,48563,1003674,4,90.7,17
98,Bulgaria,BGR,2004,5,No,No,Eastern Europe,Sofia,110879,Presidential Republic,Framework Nation,2009,6.62,100.97,15252.27,7.24,18.26,3.53,3.5,Yes,1163757,109110,1272867,10,90.8,40
99,Bulgaria,BGR,2004,6,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Host Nation,2010,6.65,89.88,13515.79,3.38,5.49,3.35,3.73,Yes,274113,283728,557841,1,74.0,17
100,Bulgaria,BGR,2004,7,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Lead Nation,2011,6.7,99.93,14914.93,5.34,4.27,0.95,0.95,No,267331,389373,656704,29,90.3,34
101,Bulgaria,BGR,2004,8,No,No,Eastern Europe,Sofia,110879,Parliamentary Monarchy,Framework Nation,2012,6.72,102.12,15196.43,8.86,20.18,2.44,2.39,Yes,1291472,23235,1314707,30,85.1,3
102,Bulgaria,BGR,2004,9,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Framework Nation,2013,6.78,96.57,14243.36,8.69,10.87,2.39,2.48,Yes,227912,257542,485454,10,62.6,19
103,Bulgaria,BGR,2004,10,No,No,Eastern Europe,Sofia,110879,Parliamentary Monarchy,Lead Nation,2014,6.85,106.83,15595.62,6.6,11.07,3.02,2.83,Yes,800314,313705,1114019,7,90.9,9
104,Bulgaria,BGR,2004,11,No,No,Eastern Europe,Sofia,110879,Constitutional Monarchy,Lead Nation,2015,6.89,112.39,16312.05,5.69,6.57,3.43,3.05,Yes,452436,225980,678416,26,76.2,8
105,Bulgaria,BGR,2004,12,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Full Member,2016,6.86,106.33,15500.0,11.11,3.34,2.05,1.93,No,321607,360592,682199,28,63.8,25
106,Bulgaria,BGR,2004,13,No,No,Eastern Europe,Sofia,110879,Constitutional Monarchy,Lead Nation,2017,6.93,116.16,16761.9,4.29,4.44,3.18,2.74,Yes,1179232,294983,1474215,4,97.8,40
107,Bulgaria,BGR,2004,14,No,No,Eastern Europe,Sofia,110879,Constitutional Monarchy,Contributing Nation,2018,6.96,110.42,15864.94,6.05,18.95,1.37,1.24,No,325992,344818,670810,24,64.5,19
108,Bulgaria,BGR,2004,15,No,No,Eastern Europe,Sofia,110879,Parliamentary Monarchy,Framework Nation,2019,7.04,116.7,16576.7,8.26,13.13,4.15,3.56,Yes,1305349,322189,1627538,2,67.0,21
109,Bulgaria,BGR,2004,16,No,No,Eastern Europe,Sofia,110879,Parliamentary Republic,Full Member,2020,6.98,124.54,17842.41,8.06,3.39,2.57,2.06,Yes,301920,297415,599335,14,74.7,31
110,Bulgaria,BGR,2004,17,No,No,Eastern Europe,Sofia,110879,Presidential Republic,Contributing Nation,2021,7.08,117.03,16529.66,1.48,3.05,2.48,2.12,Yes,1191829,313092,1504921,4,86.3,19
111,Bulgaria,BGR,2004,18,No,No,Eastern Europe,Sofia,110879,Constitutional Monarchy,Lead Nation,2022,7.1,120.83,17018.31,2.98,12.25,2.78,2.3,Yes,870106,143718,1013824,8,71.0,45
112,Bulgaria,BGR,2004,19,No,No,Eastern Europe,Sofia,110879,Presidential Republic,Framework Nation,2023,7.09,125.52,17703.81,11.82,3.1,3.31,2.64,Yes,463960,207731,671691,14,89.9,18
113,Bulgaria,BGR,2004,20,No,No,Eastern Europe,Sofia,110879,Presidential Republic,Contributing Nation,2024,7.15,122.29,17103.5,1.99,12.65,1.59,1.3,No,904649,92614,997263,23,62.8,4
114,Canada,CAN,1949,0,Yes,No,North America,Ottawa,9984670,Federal Republic,Framework Nation,1949,37.88,1970.55,52020.86,5.44,10.09,47.69,2.42,Yes,658035,302363,960398,8,75.8,22
115,Canada,CAN,1949,1,Yes,No,North America,Ottawa,9984670,Federal Republic,Contributing Nation,1950,38.36,1944.39,50687.96,5.52,4.12,78.36,4.03,Yes,760360,46705,807065,26,80.4,27
116,Canada,CAN,1949,2,Yes,No,North America,Ottawa,9984670,Parliamentary Monarchy,Host Nation,1951,38.37,2196.01,57232.47,6.37,4.28,73.79,3.36,Yes,354099,40544,394643,23,73.7,43
117,Canada,CAN,1949,3,Yes,No,North America,Ottawa,9984670,Parliamentary Republic,Host Nation,1952,38.5,2231.69,57965.97,7.43,17.2,37.49,1.68,No,415208,91463,506671,32,78.1,38
118,Canada,CAN,1949,4,Yes,No,North America,Ottawa,9984670,Constitutional Monarchy,Host Nation,1953,39.29,2266.7,57691.52,7.81,14.49,53.95,2.38,Yes,1185325,337612,1522937,29,62.7,30
119,Canada,CAN,1949,5,Yes,No,North America,Ottawa,9984670,Parliamentary Republic,Full Member,1954,39.23,2277.98,58067.3,1.35,11.23,80.41,3.53,Yes,739576,266490,1006066,24,92.4,6
120,Canada,CAN,1949,6,Yes,No,North America,Ottawa,9984670,Parliamentary Republic,Lead Nation,1955,39.02,2332.86,59786.26,4.92,13.61,96.35,4.13,Yes,1247375,266349,1513724,13,72.5,32
121,Canada,CAN,1949,7,Yes,No,North America,Ottawa,9984670,Parliamentary Republic,Host Nation,1956,39.5,2336.7,59156.96,1.47,14.92,94.87,4.06,Yes,721741,375007,1096748,29,98.6,35
122,Canada,CAN,1949,8,Yes,No,North America,Ottawa,9984670,Parliamentary Monarchy,Full Member,1957,39.63,2393.56,60397.68,5.2,8.77,33.99,1.42,No,594770,203617,798387,22,62.6,8
123,Canada,CAN,1949,9,Yes,No,North America,Ottawa,9984670,Parliamentary Republic,Contributing Nation,1958,39.72,2455.43,61818.48,7.43,5.01,53.53,2.18,Yes,1378414,475684,1854098,10,95.8,21
124,Canada,CAN,1949,10,Yes,No,North America,Ottawa,9984670,Federal Republic,Framework Nation,1959,40.02,2648.11,66169.67,11.29,8.19,84.74,3.2,Yes,1249391,372133,1621524,9,86.1,45
125,Canada,CAN,1949,11,Yes,No,North America,Ottawa,9984670,Presidential Republic,Framework Nation,1960,40.44,2681.47,66307.37,0.71,8.18,32.45,1.21,No,1067877,190202,1258079,32,67.5,10
126,Canada,CAN,1949,12,Yes,No,North America,Ottawa,9984670,Parliamentary Monarchy,Full Member,1961,40.73,2459.92,60395.78,6.71,16.77,46.25,1.88,No,1066202,404660,1470862,22,94.2,41
